country,points,price,province,taster_name,title,variety,winery,val,,,,,,
US,88,28,California,Matt Kettmann,Écluse 2015 Prelude White (Paso Robles),Rhône-style White Blend,Écluse,101,,,,,,
US,89,25,California,Matt Kettmann,Adelaida 2013 Finder Estate White (Paso Robles),Rhône-style White Blend,Adelaida,101,,,,,,
US,88,25,California,Matt Kettmann,Adelaida 2013 Finder White (Paso Robles),Rhône-style White Blend,Adelaida,101,,,,,,
US,90,35,California,Matt Kettmann,Adelaida 2013 Version White Anna's Vineyard White (Adelaida District),Rhône-style White Blend,Adelaida,101,,,,,,
US,92,35,California,Matt Kettmann,Adelaida 2014 Anna's White (Adelaida District),Rhône-style White Blend,Adelaida,101,,,,,,
US,88,39,California,Virginie Boone,Alder Springs 2012 Apex 39 White (Mendocino),Rhône-style White Blend,Alder Springs,101,,,,,,
US,90,24,California,Virginie Boone,Anaba 2011 Turbine White (Sonoma Valley),Rhône-style White Blend,Anaba,101,,,,,,
US,88,28,California,Virginie Boone,Anaba 2013 Turbine White White (Sonoma Valley),Rhône-style White Blend,Anaba,101,,,,,,
US,88,28,California,Matt Kettmann,Andrew Murray 2014 Enchante Curtis Vineyard White (Santa Ynez Valley),Rhône-style White Blend,Andrew Murray,101,,,,,,
US,87,38,California,Matt Kettmann,Ascension Cellars 2015 Lumiere du Soleil Sunlight White (Paso Robles),Rhône-style White Blend,Ascension Cellars,101,,,,,,
US,86,36,California,Matt Kettmann,Ascension Cellars 2015 Silver White (Paso Robles),Rhône-style White Blend,Ascension Cellars,101,,,,,,
US,86,39,California,Matt Kettmann,Ascension Cellars 2016 Enchantress White (Paso Robles),Rhône-style White Blend,Ascension Cellars,101,,,,,,
US,89,24,California,Matt Kettmann,Barton 2014 The River White (Central Coast),Rhône-style White Blend,Barton,101,,,,,,
US,88,25,California,Jim Gordon,Bella Grace 2016 3 Graces Blanc White (Shenandoah Valley (CA)),Rhône-style White Blend,Bella Grace,101,,,,,,
US,89,20,California,Matt Kettmann,Billhook 2013 White (Santa Barbara County),Rhône-style White Blend,Billhook,101,,,,,,
US,88,26,California,Matt Kettmann,Bonny Doon 2011 Le Cigare Blanc Beeswax Vineyard White (Arroyo Seco),Rhône-style White Blend,Bonny Doon,101,,,,,,
US,86,45,California,Matt Kettmann,Bonny Doon 2011 Le Cigare Blanc Reserve Beeswax Vineyard White (Arroyo Seco),Rhône-style White Blend,Bonny Doon,101,,,,,,
US,91,28,California,Matt Kettmann,Bonny Doon 2013 Le Cigare Blanc Beeswax Vineyard White (Arroyo Seco),Rhône-style White Blend,Bonny Doon,101,,,,,,
US,93,48,California,Matt Kettmann,Bonny Doon 2014 Le Cigare Blanc Reserve White (Central Coast),Rhône-style White Blend,Bonny Doon,101,,,,,,
